Case,Case Name,Notification Date,Decision Date,Decision,Phase,Sector,Language,Link
M.10889,CNP / CVA,2022-09-09,2022-10-03,Art. 6(1)(b),Phase I,K.65,1,https://ec.europa.eu/competition/mergers/cases1/202241/M_10889_8532126_87_3.pdf
M.10696,ARAMCO OVERSEAS COMPANY / BP EUROPA / LOTOS-AIR BP POLSKA,2022-09-07,2022-09-29,Art. 6(1)(b),Phase I,G.46,1,https://ec.europa.eu/competition/mergers/cases1/202241/M_10696_8531441_106_3.pdf
M.10872,GEELY / RENAULT / RENAULT KOREA MOTORS,2022-09-05,2022-09-28,Art. 6(1)(b),Phase I,C.29,1,https://ec.europa.eu/competition/mergers/cases1/202241/M_10872_8531439_104_3.pdf
M.10869,P2X EUROPE / NVG / P2X PORTUGAL JV,2022-09-05,2022-09-27,Art. 6(1)(b),Phase I,G.46|C.20|C.19,1,https://ec.europa.eu/competition/mergers/cases1/202241/M_10869_8532124_109_3.pdf
M.10858,RAFFLES / APG / CMGO / TSH,2022-09-02,2022-09-27,Art. 6(1)(b),Phase I,L.68,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10858_8525043_158_3.pdf
M.10879,EMZ PARTNERS / IK INVESTMENT / OAKLEY CAPITAL / MR VALENTIN SCHÜTT / WISHCARD,2022-09-01,2022-09-27,Art. 6(1)(b),Phase I,G.47,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10879_8525040_112_3.pdf
M.10864,AGC GLASS EUROPE / INTERPANE,2022-08-30,2022-09-21,Art. 6(1)(b),Phase I,C.23,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10864_8525013_82_3.pdf
M.10846,CVC FUNDS / VISMA CUSTOM SOLUTIONS,2022-08-25,2022-09-16,Art. 6(1)(b),Phase I,M.70|J.62|J.58,1,https://ec.europa.eu/competition/mergers/cases1/202239/M_10846_8504975_311_3.pdf
M.10868,DIGITALBRIDGE / BROOKFIELD / DTAG / JV,2022-08-24,2022-09-15,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases1/202239/M_10868_8504976_98_3.pdf
M.10870,CAPVEST / NATRA,2022-08-22,2022-09-20,Art. 6(1)(b),Phase I,C.10,1,https://ec.europa.eu/competition/mergers/cases1/202241/M_10870_8531999_79_3.pdf
M.10851,CVC / PLATINUM IVY / TMF GROUP,2022-08-19,2022-09-14,Art. 6(1)(b),Phase I,N.82,1,https://ec.europa.eu/competition/mergers/cases1/202239/M_10851_8506556_93_3.pdf
M.10898,PLATINUM EQUITY GROUP / HOP LUN,2022-08-19,2022-09-13,Art. 6(1)(b),Phase I,G.46|C.14|G.47,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10898_8525027_129_3.pdf
M.10819,OMERS / APG / GROENDUS,2022-08-17,2022-09-15,Art. 6(1)(b),Phase I,C.26|M.71|D.35,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10819_8525035_153_3.pdf
M.10871,E.ON / FSI / WESTENERGIE BREITBAND,2022-08-17,2022-09-07,Art. 6(1)(b),Phase I,J.61|F.42,1,https://ec.europa.eu/competition/mergers/cases1/202237/M_10871_8488684_137_3.pdf
M.10848,PERMIRA / H&F / ZENDESK,2022-08-17,2022-09-09,Art. 6(1)(b),Phase I,J.58,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10848_8494644_202_3.pdf
M.10856,OAKTREE / CPP INVESTMENTS / PORTS AMERICA,2022-08-17,2022-09-09,Art. 6(1)(b),Phase I,H.52,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10856_8495539_102_3.pdf
M.10844,INFRAVIA / P4 / FIBERFORCE,2022-08-17,2022-09-08,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10844_8495662_85_3.pdf
M.10850,ASMENT DE TEMARA / VEOM / JV,2022-08-16,2022-09-07,Art. 6(1)(b),Phase I,E.38,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10850_8491521_75_3.pdf
M.10791,DAIMLER TRUCK / NEXTERA / BFM / JV,2022-08-16,2022-09-08,Art. 6(1)(b),Phase I,H.52,1,https://ec.europa.eu/competition/mergers/cases1/202239/M_10791_8505448_87_3.pdf
M.10867,GIP / AZURE / OMERS / VTG,2022-08-12,2022-09-07,Art. 6(1)(b),Phase I,N.77|H.52,1,https://ec.europa.eu/competition/mergers/cases1/202237/M_10867_8488582_114_3.pdf
M.10822,ARDIAN / TA ASSOCIATES / ODEALIM GROUP,2022-08-05,2022-09-06,Art. 6(1)(b),Phase I,K.65,0,https://ec.europa.eu/competition/mergers/cases1/202240/M_10822_8520662_117_3.pdf
M.10808,BROOKFIELD / HOMESERVE,2022-08-05,2022-09-06,Art. 6(1)(b),Phase I,F.43,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10808_8495181_173_3.pdf
M.10865,ASTORG / IPCOM,2022-08-04,2022-08-30,Art. 6(1)(b),Phase I,C.23|G.46,1,https://ec.europa.eu/competition/mergers/cases1/202237/M_10865_8478369_75_3.pdf
M.10781,KB AG / KB SFN / KBJ,2022-08-04,2022-08-29,Art. 6(1)(b),Phase I,C.29,1,https://ec.europa.eu/competition/mergers/cases1/202236/M_10781_8471869_44_3.pdf
M.10849,HUK / BRI / LNN / PITSTOP,2022-08-04,2022-08-31,Art. 6(1)(b),Phase I,G.45,1,https://ec.europa.eu/competition/mergers/cases1/202237/M_10849_8478805_194_3.pdf
M.10633,SUEZ / ACEA / JV,2022-08-04,2022-08-29,Art. 6(1)(b),Phase I,E.36,1,https://ec.europa.eu/competition/mergers/cases1/202236/M_10633_8471845_112_3.pdf
M.10861,HG / TEAM.BLUE,2022-08-03,2022-08-29,Art. 6(1)(b),Phase I,J.63,1,https://ec.europa.eu/competition/mergers/cases1/202236/M_10861_8474757_97_3.pdf
M.10839,APOLLO CAPITAL MANAGEMENT / SCHUR FLEXIBLES GROUP,2022-08-02,2022-08-25,Art. 6(1)(b),Phase I,C.22,1,https://ec.europa.eu/competition/mergers/cases1/202236/M_10839_8471026_88_3.pdf
M.10681,RTL DEUTSCHLAND / SEVEN.ONE ENTERTAINMANET GROUP / ADDRESSABLE TV TECHNOLOGY JV,2022-08-01,2022-08-24,Art. 6(1)(b),Phase I,J.60|M.73,1,https://ec.europa.eu/competition/mergers/cases1/202235/M_10681_8468347_139_3.pdf
M.10803,ELKEM / HYDRO ENERGI INVEST / ALTOR FUND MANAGER / VIANODE,2022-08-01,2022-08-24,Art. 6(1)(b),Phase I,C.23,1,https://ec.europa.eu/competition/mergers/cases1/202236/M_10803_8471019_111_3.pdf
M.10814,HEDIN / MOTOR-CAR,2022-07-28,2022-08-22,Art. 6(1)(b),Phase I,G.45,1,https://ec.europa.eu/competition/mergers/cases1/202235/M_10814_8466039_141_3.pdf
M.10824,BAIN CAPITAL / HOUSE OF HR,2022-07-25,2022-08-18,Art. 6(1)(b),Phase I,N.78,1,https://ec.europa.eu/competition/mergers/cases1/202235/M_10824_8462654_91_3.pdf
M.10813,BLACKSTONE / CPP INVESTMENTS / ADVARRA,2022-07-20,2022-08-16,Art. 6(1)(b),Phase I,M.74|J.62|J.58,1,https://ec.europa.eu/competition/mergers/cases1/202235/M_10813_8457630_154_3.pdf
M.10823,CLEARLAKE / TA ASSOCIATES / EPHESOFT,2022-07-19,2022-08-12,Art. 6(1)(b),Phase I,J.58,1,https://ec.europa.eu/competition/mergers/cases1/202234/M_10823_8455580_123_3.pdf
M.10836,EQUINOR / SSE / TRITON POWER,2022-07-19,2022-08-11,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202233/M_10836_8451104_79_3.pdf
M.10795,TA ASSOCIATES / VISTA / iCIMS,2022-07-19,2022-08-12,Art. 6(1)(b),Phase I,J.62|J.58,1,https://ec.europa.eu/competition/mergers/cases1/202234/M_10795_8456689_146_3.pdf
M.10818,TOTALENERGIES / GIP / CLEARWAY ENERGY GROUP / SUNPOWER GROUP,2022-07-18,2022-08-11,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202234/M_10818_8453278_106_3.pdf
M.10801,INFRAFIBRE / DG FIBRE / DGN,2022-07-18,2022-08-10,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases1/202233/M_10801_8451107_84_3.pdf
M.10835,ALLIANZ / DALMORE / AMBER / TIDEWAY,2022-07-18,2022-08-10,Art. 6(1)(b),Phase I,E.37,1,https://ec.europa.eu/competition/mergers/cases1/202233/M_10835_8450377_100_3.pdf
M.10804,KKR / CONTOURGLOBAL,2022-07-14,2022-08-08,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202233/M_10804_8448029_99_3.pdf
M.10718,KINGSPAN / ONDURA,2022-07-14,2022-08-08,Art. 6(1)(b),Phase I,C.24,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10718_8526135_284_7.pdf
M.10828,CVC / NORDIC CAPITAL / CARY GROUP,2022-07-13,2022-08-05,Art. 6(1)(b),Phase I,G.45,1,https://ec.europa.eu/competition/mergers/cases1/202232/M_10828_8444922_54_3.pdf
M.10805,MDP / HPS / PREMFINA / iGO4,2022-07-12,2022-08-05,Art. 6(1)(b),Phase I,K.65,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10805_8501958_98_3.pdf
M.10747,BHC / DUSSUR / BAKER PETROLITE SAUDI COMPANY JV,2022-07-08,2022-08-03,Art. 6(1)(b),Phase I,B.09,1,https://ec.europa.eu/competition/mergers/cases1/202232/M_10747_8442945_68_3.pdf
M.10651,FAERCH / PACCOR,2022-07-06,2022-08-11,Art. 6(1)(b),Phase I,C.22,1,https://ec.europa.eu/competition/mergers/cases1/202237/M_10651_8486100_969_3.pdf
M.10777,PLASTIC OMNIUM / VARROC (LIGHTING DIVISION),2022-07-06,2022-08-01,Art. 6(1)(b),Phase I,C.29,1,https://ec.europa.eu/competition/mergers/cases1/202232/M_10777_8441883_190_3.pdf
M.10784,BAIN CAPITAL / BPEA / CITIUSTECH,2022-07-06,2022-08-02,Art. 6(1)(b),Phase I,J.62,1,https://ec.europa.eu/competition/mergers/cases1/202232/M_10784_8441694_92_3.pdf
M.10757,MUTARES / CIMOS,2022-07-05,2022-07-28,Art. 6(1)(b),Phase I,C.29,1,https://ec.europa.eu/competition/mergers/cases1/202232/M_10757_8439934_94_3.pdf
M.10756,ACC / EVONIK / JV,2022-07-05,2022-07-28,Art. 6(1)(b),Phase I,C.20,1,https://ec.europa.eu/competition/mergers/cases1/202236/M_10756_8471870_93_3.pdf
M.10656,FLUTTER ENTERTAINMENT / SISAL,2022-07-04,2022-07-28,Art. 6(1)(b),Phase I,R.92,1,https://ec.europa.eu/competition/mergers/cases1/202231/M_10656_8434296_300_3.pdf
M.10811,INPEX / SC / SEML,2022-07-04,2022-07-27,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202231/M_10811_8434282_64_4.pdf
M.10787,SONY / HONDA / JV,2022-07-01,2022-07-26,Art. 6(1)(b),Phase I,C.29,1,https://ec.europa.eu/competition/mergers/cases1/202231/M_10787_8433454_61_3.pdf
M.10740,CUMMINS / MERITOR,2022-06-29,2022-07-26,Art. 6(1)(b),Phase I,C.29,1,https://ec.europa.eu/competition/mergers/cases1/202231/M_10740_8433452_89_4.pdf
M.10742,HARTREE / CATL / CFC / JV,2022-06-28,2022-07-20,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202230/M_10742_8424843_81_3.pdf
M.10809,CD&R / TPG / COVETRUS,2022-06-28,2022-07-20,Art. 6(1)(b),Phase I,G.46,1,https://ec.europa.eu/competition/mergers/cases1/202231/M_10809_8427385_75_3.pdf
M.10719,PGGM / DIF / FUDURA,2022-06-28,2022-08-03,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10719_8502050_180_3.pdf
M.10772,TSM / IREPSE,2022-06-28,2022-07-25,Art. 6(1)(b),Phase I,Q.87,1,https://ec.europa.eu/competition/mergers/cases1/202231/M_10772_8428683_89_3.pdf
M.10745,EMIL FREY / FCA CENTRAL AND EASTERN EUROPE / FIAT CHRYSLER AUTOMOBILES CR / FIAT CHRYSLER AUTOMOBILES SR,2022-06-27,2022-07-29,Art. 6(1)(b),Phase I,G.45,1,https://ec.europa.eu/competition/mergers/cases1/202233/M_10745_8445862_174_3.pdf
M.10802,ARES / ONEX / FOUNDER / RYAN,2022-06-24,2022-07-19,Art. 6(1)(b),Phase I,J.62,1,https://ec.europa.eu/competition/mergers/cases1/202231/M_10802_8426541_97_3.pdf
M.10829,KKR / HITACHI TRANSPORT SYSTEM,2022-06-24,2022-07-19,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202231/M_10829_8432243_69_3.pdf
M.10778,TA ASSOCIATES / CLEARLAKE / KOFAX,2022-06-23,2022-07-15,Art. 6(1)(b),Phase I,J.58,1,https://ec.europa.eu/competition/mergers/cases1/202230/M_10778_8424842_86_3.pdf
M.10798,NBIM / OXFORD PROPERTIES / SONY CENTER,2022-06-23,2022-07-19,Art. 6(1)(b),Phase I,L.68,1,https://ec.europa.eu/competition/mergers/cases1/202230/M_10798_8424844_103_3.pdf
M.10758,EIM / BROOKFIELD / NIELSEN,2022-06-20,2022-07-13,Art. 6(1)(b),Phase I,M.73,1,https://ec.europa.eu/competition/mergers/cases1/202229/M_10758_8414692_153_3.pdf
M.10785,ICG / KONECTA / COMDATA,2022-06-17,2022-07-12,Art. 6(1)(b),Phase I,N.82,1,https://ec.europa.eu/competition/mergers/cases1/202230/M_10785_8422568_141_3.pdf
M.10672,VISTA / ELLIOTT / CITRIX SYSTEMS / TIBCO,2022-06-16,2022-07-13,Art. 6(1)(b),Phase I,J.58,1,https://ec.europa.eu/competition/mergers/cases1/202229/M_10672_8414710_127_3.pdf
M.10764,SAGARD / BPIFRANCE / ADIT JV,2022-06-16,2022-07-11,Art. 6(1)(b),Phase I,M.70,0,https://ec.europa.eu/competition/mergers/cases1/202229/M_10764_8414691_124_3.pdf
M.10391,RTL GROUP / TALPA NETWORK,2022-06-15,2022-07-11,Art. 6(1)(b),Phase I,J.59,1,https://ec.europa.eu/competition/mergers/cases1/202229/M_10391_8413359_283_3.pdf
M.10754,ONE ROCK CAPITAL PARTNERS / PREFERE RESINS,2022-06-15,2022-07-07,Art. 6(1)(b),Phase I,C.20,1,https://ec.europa.eu/competition/mergers/cases1/202229/M_10754_8407962_108_3.pdf
M.10618,WACKER NEUSON / PORR / UMDASCH GROUP / SEQUELLO JV,2022-06-15,2022-07-11,Art. 6(1)(b),Phase I,J.63,0,https://ec.europa.eu/competition/mergers/cases1/202229/M_10618_8414271_122_7.pdf
M.10799,REGGEBORGH / ELLAKTOR,2022-06-15,2022-07-07,Art. 6(1)(b),Phase I,D.35|F.41,1,https://ec.europa.eu/competition/mergers/cases1/202229/M_10799_8406577_100_3.pdf
M.10755,ADVENT / IRCA,2022-06-13,2022-07-05,Art. 6(1)(b),Phase I,C.10,1,https://ec.europa.eu/competition/mergers/cases1/202229/M_10755_8405223_161_3.pdf
M.10652,MOL / LOTOS PALIWA,2022-06-10,2022-07-15,Art. 6(1)(b),Phase I,G.47,1,https://ec.europa.eu/competition/mergers/cases1/202233/M_10652_8450818_219_3.pdf
M.10649,PKN ORLEN / NORMBENZ / SELECTED HUNGARIAN AND SLOVAK ASSETS OF MOL,2022-06-10,2022-07-15,Art. 6(1)(b),Phase I,G.47,1,https://ec.europa.eu/competition/mergers/cases1/202233/M_10649_8446765_250_3.pdf
M.10748,MACQUARIE / BCI / NATIONAL GRID / NATIONAL GRID GAS,2022-06-08,2022-06-30,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202228/M_10748_8404414_92_3.pdf
M.10750,KÄRCHER / WOCO / WAIRIFY,2022-06-07,2022-07-05,Art. 6(1)(b),Phase I,C.27,0,https://ec.europa.eu/competition/mergers/cases1/202229/M_10750_8405201_123_3.pdf
M.10789,GOLDMAN SACHS / SOJITZ / JV,2022-06-07,2022-07-04,Art. 6(1)(b),Phase I,L.68,1,https://ec.europa.eu/competition/mergers/cases1/202228/M_10789_8401284_98_3.pdf
M.10732,EQT / BPEA,2022-06-02,2022-06-27,Art. 6(1)(b),Phase I,K.66,1,https://ec.europa.eu/competition/mergers/cases1/202228/M_10732_8400605_101_3.pdf
M.10780,WATERLAND / KIDSFOUNDATION / PARTOU,2022-06-02,2022-06-29,Art. 6(1)(b),Phase I,Q.88,1,https://ec.europa.eu/competition/mergers/cases1/202229/M_10780_8414686_71_3.pdf
M.10737,HP / POLY,2022-06-02,2022-07-08,Art. 6(1)(b),Phase I,G.46|C.26|S.95,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10737_8500231_401_3.pdf
M.10782,PLD / NBIM / SANT BOI DE LLOBREGAT ASSET,2022-05-30,2022-06-23,Art. 6(1)(b),Phase I,L.68,1,https://ec.europa.eu/competition/mergers/cases1/202226/M_10782_8383371_98_3.pdf
M.10723,BROOKFIELD / JINDAL GROUP / JINDAL PLASTIC FILMS BUSINESS,2022-05-25,2022-06-21,Art. 6(1)(b),Phase I,C.22,1,https://ec.europa.eu/competition/mergers/cases1/202226/M_10723_8383731_70_3.pdf
M.10664,XLCEE / DEROT / BLACK RED WHITE,2022-05-25,2022-06-21,Art. 6(1)(b),Phase I,C.31|G.46|G.47,1,https://ec.europa.eu/competition/mergers/cases1/202226/M_10664_8383801_164_3.pdf
M.10788,UTUM / SCHWARZ GROUP / APPLIEDAI,2022-05-23,2022-06-23,Art. 6(1)(b),Phase I,J.58|J.62,1,https://ec.europa.eu/competition/mergers/cases1/202227/M_10788_8389022_108_3.pdf
M.10717,KKR / PAI PARTNERS / BCI / REFRESCO,2022-05-23,2022-06-29,Art. 6(1)(b),Phase I,C.11|C.22,1,https://ec.europa.eu/competition/mergers/cases1/202229/M_10717_8413358_283_3.pdf
M.10698,MITSUI / INDOMOBIL / PTL / JV,2022-05-20,2022-06-17,Art. 6(1)(b),Phase I,N.77,1,https://ec.europa.eu/competition/mergers/cases1/202226/M_10698_8382630_83_3.pdf
M.10729,FOWI / MOL / TOHO / HOKURIKU / ORSTED / JERA / SWANCOR,2022-05-20,2022-06-16,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202226/M_10729_8372527_63_3.pdf
M.10635,CVC / HTB / FL,2022-05-20,2022-06-20,Art. 6(1)(b),Phase I,G.46|G.47|Q.86,1,https://ec.europa.eu/competition/mergers/cases1/202226/M_10635_8383398_202_3.pdf
M.10653,ESTAVAYER LAIT / GIVAUDAN / BÜHLER / JV,2022-05-19,2022-06-16,Art. 6(1)(b),Phase I,M.72,1,https://ec.europa.eu/competition/mergers/cases1/202226/M_10653_8376641_146_3.pdf
M.10765,KKR / OTPP / HIGHWAYS TRUST,2022-05-18,2022-06-15,Art. 6(1)(b),Phase I,F.42,1,https://ec.europa.eu/competition/mergers/cases1/202226/M_10765_8372548_128_3.pdf
M.10739,FORD OTOSAN / FORD ROMANIA,2022-05-17,2022-06-21,Art. 6(1)(b),Phase I,C.29|G.45,1,https://ec.europa.eu/competition/mergers/cases1/202228/M_10739_8398351_106_3.pdf
M.10724,ITOCHU / UNDER ARMOUR / DOME,2022-05-17,2022-06-13,Art. 6(1)(b),Phase I,G.46|G.47,1,https://ec.europa.eu/competition/mergers/cases1/202225/M_10724_8366897_94_3.pdf
M.10623,REPSOL / TELEFONICA / JV,2022-05-13,2022-06-09,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202225/M_10623_8357254_135_3.pdf
M.10731,APOLLO MANAGEMENT / PRIMAFRIO,2022-05-13,2022-06-10,Art. 6(1)(b),Phase I,H.49,1,https://ec.europa.eu/competition/mergers/cases1/202225/M_10731_8358894_108_3.pdf
M.10771,PLD / NBIM / UNIPART GROUP CAR PARK,2022-05-13,2022-06-10,Art. 6(1)(b),Phase I,L.68,1,https://ec.europa.eu/competition/mergers/cases1/202225/M_10771_8366884_94_3.pdf
M.10686,LOV GROUP / BETCLIC EVEREST GROUP,2022-05-13,2022-06-10,Art. 6(1)(b),Phase I,R.92,1,https://ec.europa.eu/competition/mergers/cases1/202225/M_10686_8361089_76_3.pdf
M.10714,VGRD / ASSETS OF AUTO-HOLDING DRESDEN,2022-05-13,2022-06-22,Art. 6(1)(b),Phase I,G.45,1,https://ec.europa.eu/competition/mergers/cases1/202237/M_10714_8488669_160_3.pdf
M.10705,BLACKSTONE / CARLYLE / GOLDMAN SACHS / PRIMA,2022-05-12,2022-06-08,Art. 6(1)(b),Phase I,K.65,1,https://ec.europa.eu/competition/mergers/cases1/202224/M_10705_8355367_151_3.pdf
M.10700,HY24 / ENAGAS / ENAGAS RENOVABLE,2022-05-11,2022-06-07,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202224/M_10700_8353137_116_3.pdf
M.10662,ATLANTIA / YUNEX,2022-05-10,2022-06-07,Art. 6(1)(b),Phase I,H.52|J.62,1,https://ec.europa.eu/competition/mergers/cases1/202224/M_10662_8353116_98_3.pdf
M.10624,ENEL / INTESA / JV,2022-05-10,2022-06-17,Art. 6(1)(b),Phase I,K.66|K.64,0,https://ec.europa.eu/competition/mergers/cases1/202231/M_10624_8432222_364_3.pdf
M.10722,CHEVRON / RENEWABLE ENERGY GROUP,2022-05-10,2022-06-07,Art. 6(1)(b),Phase I,G.46|C.20,1,https://ec.europa.eu/competition/mergers/cases1/202224/M_10722_8353239_82_3.pdf
M.10667,VESA / POSTNL,2022-05-06,2022-06-03,Art. 6(1)(b),Phase I,H.53,1,https://ec.europa.eu/competition/mergers/cases1/202224/M_10667_8353094_120_3.pdf
M.10746,MORGAN STANLEY / BAWAG / GYLE JV,2022-05-06,2022-06-03,Art. 6(1)(b),Phase I,L.68,1,https://ec.europa.eu/competition/mergers/cases1/202224/M_10746_8353115_100_3.pdf
M.10736,ITOCHU / ISUZU MOTORS / JV,2022-05-04,2022-06-01,Art. 6(1)(b),Phase I,N.77,1,https://ec.europa.eu/competition/mergers/cases1/202223/M_10736_8345966_133_3.pdf
M.10743,TOWERBROOK / GSF,2022-05-04,2022-06-08,Art. 6(1)(b),Phase I,N.81,1,https://ec.europa.eu/competition/mergers/cases1/202224/M_10743_8353260_71_3.pdf
M.10579,PON HOLDING / AUTOHAUS ADELBERT MOLL / FLEXXDRIVE,2022-05-02,2022-05-30,Art. 6(1)(b),Phase I,G.45,1,https://ec.europa.eu/competition/mergers/cases1/202223/M_10579_8341682_180_3.pdf
M.10629,CSL / VIFOR PHARMA,2022-04-26,2022-05-31,Art. 6(1)(b),Phase I,C.21,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10629_8518008_643_3.pdf
M.10683,APPLIED / TEMASEK / JV,2022-04-25,2022-05-18,Art. 6(1)(b),Phase I,C.25,1,https://ec.europa.eu/competition/mergers/cases1/202221/M_10683_8325246_76_3.pdf
M.10695,APOLLO MANAGEMENT / BANK AND ACQUIRERS INTERNATIONAL HOLDING,2022-04-25,2022-05-23,Art. 6(1)(b),Phase I,K.64,1,https://ec.europa.eu/competition/mergers/cases1/202222/M_10695_8335542_131_3.pdf
M.10688,AXA / ATALANTE,2022-04-19,2022-05-13,Art. 6(1)(b),Phase I,K.64,0,https://ec.europa.eu/competition/mergers/cases1/202221/M_10688_8320039_106_3.pdf
M.10684,SWISS LIFE / VAUBAN / WASCOSA,2022-04-19,2022-05-13,Art. 6(1)(b),Phase I,N.77,1,https://ec.europa.eu/competition/mergers/cases1/202221/M_10684_8326660_115_3.pdf
M.10565,VOLKSWAGEN / TRINITY / EUROPCAR,2022-04-19,2022-05-25,Art. 6(1)(b),Phase I,N.77|C.29,1,https://ec.europa.eu/competition/mergers/cases1/202229/M_10565_8405226_1032_3.pdf
M.10706,HAL INVESTMENTS / ROYAL BOSKALIS WESTMINSTER,2022-04-13,2022-05-12,Art. 6(1)(b),Phase I,H.52|H.50|F.42,1,https://ec.europa.eu/competition/mergers/cases1/202221/M_10706_8326465_112_3.pdf
M.10710,SELFINVEST / LLG / SELECTED CAR GROUP JV,2022-04-13,2022-05-11,Art. 6(1)(b),Phase I,K.64,1,https://ec.europa.eu/competition/mergers/cases1/202221/M_10710_8320049_84_2.pdf
M.10682,VALEO / VSEA,2022-04-13,2022-05-11,Art. 6(1)(b),Phase I,C.27,1,https://ec.europa.eu/competition/mergers/cases1/202220/M_10682_8314191_89_3.pdf
M.10571,HSBC SINGAPORE / TEMASEK / JV,2022-04-11,2022-05-11,Art. 6(1)(b),Phase I,K.64,1,https://ec.europa.eu/competition/mergers/cases1/202220/M_10571_8311555_103_3.pdf
M.10674,INTERPARKING SERVIZI / OSR / PARKING LOT JV,2022-04-11,2022-05-11,Art. 6(1)(b),Phase I,L.68,1,https://ec.europa.eu/competition/mergers/cases1/202220/M_10674_8313931_103_3.pdf
M.10661,BAIN CAPITAL / INETUM,2022-04-08,2022-05-11,Art. 6(1)(b),Phase I,J.62,1,https://ec.europa.eu/competition/mergers/cases1/202220/M_10661_8314238_79_3.pdf
M.10716,PLD / NBIM / TARGET ASSET BLEISWIJK,2022-04-05,2022-05-03,Art. 6(1)(b),Phase I,L.68,1,https://ec.europa.eu/competition/mergers/cases1/202219/M_10716_8299896_68_3.pdf
M.10647,HOYA / BOE VISION / JV,2022-04-04,2022-05-02,Art. 6(1)(b),Phase I,C.26,1,https://ec.europa.eu/competition/mergers/cases1/202219/M_10647_8300061_91_3.pdf
M.10707,MACQUARIE / BCI / REDEN HOLDING AND REDEN HOLDING 2020,2022-04-04,2022-04-29,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases1/202219/M_10707_8294579_137_3.pdf
M.10691,CDP GROUP / FOMAS GROUP / PUNCH GROUP / JV,2022-04-04,2022-05-02,Art. 6(1)(b),Phase I,C.25,0,https://ec.europa.eu/competition/mergers/cases1/202219/M_10691_8296511_157_3.pdf
M.10650,EGERIA / ISOPLUS GROUP / BRUGG / ISOPLUS JV,2022-04-01,2022-04-29,Art. 6(1)(b),Phase I,C.24,1,https://ec.europa.eu/competition/mergers/cases1/202219/M_10650_8298993_184_3.pdf
M.10666,BROOKFIELD / TELIA COMPANY / TELIA TOWERS SWEDEN,2022-03-29,2022-04-25,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases1/202219/M_10666_8296101_127_3.pdf
M.10676,NEXT / WP / PINK,2022-03-25,2022-04-21,Art. 6(1)(b),Phase I,G.47,1,https://ec.europa.eu/competition/mergers/cases1/202219/M_10676_8297958_127_3.pdf
M.10690,NORDIC CAPITAL / ELLOS GROUP,2022-03-25,2022-04-21,Art. 6(1)(b),Phase I,G.47,1,https://ec.europa.eu/competition/mergers/cases1/202219/M_10690_8301206_91_3.pdf
M.10689,OCP GROUP / KOCH INDUSTRIES / JORF FERTILIZER COMPANY,2022-03-24,2022-04-25,Art. 6(1)(b),Phase I,C.20,1,https://ec.europa.eu/competition/mergers/cases1/202218/M_10689_8283498_96_3.pdf
M.10218,GAUSELMANN / GREENTUBE / JV,2022-03-24,2022-04-27,Art. 6(1)(b),Phase I,R.92,0,https://ec.europa.eu/competition/mergers/cases1/202219/M_10218_8291987_167_3.pdf
M.10679,TELEFONICA / PONTEGADEA / TELXIUS,2022-03-22,2022-04-19,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases1/202217/M_10679_8279146_109_3.pdf
