Case,Case Name,Notification Date,Decision Date,Decision,Phase,Sector,Language,Link
M.2161,AHOLD / SUPERDIPLO,2000-09-20,2000-10-23,Art. 6(1)(b),Phase I,G.47|G.46,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2161_en.pdf
M.2123,BANCO COMMERCIAL PORTUGUES / BANCO DE SABADELL / IBERSECURITIES,2000-09-18,2000-10-18,Art. 6(1)(b),Phase I,K.64,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2123_es.pdf
M.2134,AVNET / VEBA ELECTRONICS,2000-09-15,2000-10-18,Art. 6(1)(b),Phase I,,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2134_en.pdf
M.2061,AIRBUS,2000-09-15,2000-10-18,Art. 6(1)(b),Phase I,C.30,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2061_en.pdf
M.2101,GENERAL MILLS / PILLSBURY / DIAGEO,2000-09-14,2000-10-13,Art. 6(1)(b),Phase I,C.10,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2101_en.pdf
M.2137,SLDE / NTL / MSCP / NOOS,2000-09-14,2000-10-16,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2137_en.pdf
M.2072,PHILLIP MORRIS / NABISCO,2000-09-14,2000-10-16,Art. 6(1)(b),Phase I,C.10,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2072_en.pdf
M.2070,TIETOENATOR / EDB BUSINESS PARTNER / JV,2000-09-13,2000-10-16,Art. 6(1)(b),Phase I,J.62,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2070_en.pdf
M.2135,NCR / 4FRONT,2000-09-12,2000-12-10,Art. 6(1)(b),Phase I,C.33,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2135_en.pdf
M.2162,MOPLA / DEUTSCHE BANK / TREVIRA,2000-09-11,2000-12-10,Art. 6(1)(b),Phase I,C.20,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2162_de.pdf
M.2158,"CREDIT SUISSE GROUP / DONALDSON, LUFKIN & JENRETTE",2000-09-08,2000-09-10,Art. 6(1)(b),Phase I,K.64,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2158_en.pdf
M.2121,THYSSEN KRUPP WERKSTOFFE / RÖHM,2000-09-07,2000-09-10,Art. 6(1)(b),Phase I,C.22,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2121_de.pdf
M.2127,DAIMLERCHRYSLER / DETROIT DIESEL CORPORATION,2000-09-07,2000-09-10,Art. 6(1)(b),Phase I,C.29,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2127_en.pdf
M.2154,C3D / RHONE / GO-AHEAD,2000-09-07,2000-10-20,Art. 6(1)(b),Phase I,H.49,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2154_20001020_310_fr.pdf
M.2151,ATOS / ORIGIN,2000-09-06,2000-09-10,Art. 6(1)(b),Phase I,J.62,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2151_en.pdf
M.2096,BAYER / DEUTSCHE TELEKOM / INFRASERV / JV,2000-09-05,2000-06-10,Art. 6(1)(b),Phase I,J.62,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2096_de.pdf
M.2039,HVB / COMMERZBANK / DB / DRESDNER / JV,2000-09-04,2000-04-10,Art. 6(1)(b),Phase I,K.66,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2039_20001004_310_en.pdf
M.2146,SHV / NPM CAPITAL,2000-09-04,2000-04-10,Art. 6(1)(b),Phase I,K.64|G.46,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2146_20001004_310_nl.pdf
M.2153,BHP / MITSUBISHI / QCT,2000-09-01,2000-09-28,Art. 6(1)(b),Phase I,B.05,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2153_en.pdf
M.1853,EDF / EnBW,2000-08-31,2001-07-02,Art. 8(2) with conditions & obligations,Phase II,D.35,1,https://ec.europa.eu/competition/mergers/cases/decisions/m1853_en.pdf
M.2050,VIVENDI / CANAL+ / SEAGRAM,2000-08-31,2000-10-13,Art. 6(1)(b) with conditions & obligations,Phase I,R.93,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2050_en.pdf
M.2115,CARREFOUR / GB,2000-08-29,2000-09-28,Art. 6(1)(b),Phase I,G.47,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2115_fr.pdf
